date,title,link,abstract,paragraphs
21.04.2020,Satabdi Roy,https://en.wikipedia.org/wiki/Satabdi_Roy,"Satabdi Roy (listen )(born 5 October 1969) is an Indian actress, film director and politician.","['Satabdi Roy (listen )(born 5 October 1969) is an Indian actress, film director and politician.', 'As an actress she is known for her work in Bengali cinema.', 'She is the recipient of BFJA Awards for two times.', 'As an actress, she ruled the array of commercial Bengali cinema during the late 1980s and 1990s.', 'As a director, she has been denounced critically for her use of superfluous themes.', 'She is a Trinamool Congress Member of Parliament, Lok Sabha since 2009.', ""Roy made her film debut opposite Prosenjit Chatterjee in Tapan Sinha's much acclaimed Bengali film Atanka (1986), which won her the BFJA Awards for the Best Supporting Actress in 1987."", 'She shot to stardom after she had been paired with Tapas Paul in films such as Amar Bandhan (1986), Guru Dakshina (1987), Antaranga (1988), Apan Amar Apan (1990) and Abishkar (1990) to name a few.', 'Her major hits with Prosenjit Chatterjee include Alingan (1990), Shraddhanjali (1993), Lathi (1996), Sakhi Tumi Kar (1996), Chandragrahan (1997), Ranokhetro (1998), Sajani Aamar Sohag (2000) and Trishul (2000) to name few.', ""She made her Bollywood debut in National Award winning director Jyoti Sarup's Naya Zaher (1991)."", 'She collaborated with Tapan Sinha for the second time in his Antardhan (1992).', ""She was conferred with the BFJA Awards for the Best Supporting Actress for the second time in 2005, for her performance in Raja Sen's Debipaksha."", 'During her heyday, she was often compared to her contemporaries, such as Debashree Roy and Rituparna Sengupta.', 'She made her directorial debut with Abhinetri (2005), which was an unequivocal reflection of the life and career of Bengali matinee idol Suchitra Sen.', 'The film turned out to be a commercial as well as critical failure.']"
21.04.2020,Kovai Sarala,https://en.wikipedia.org/wiki/Kovai_Sarala,"Kovai Sarala is an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films.","['Kovai Sarala is an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films.', 'In a career spanning more than 30 years, Sarala has appeared in over 750 films.', 'She has won the Tamil Nadu State Film Award for Best Comedian three times, for her performances in Sathi Leelavathi (1995), Poovellam Un Vasam (2001) and Uliyin Osai (2008).', 'She has also won the Nandi Award for Best Female Comedian for her performance in Ori Nee Prema Bangaram Kanu (2003) and the Vijay Award for Best Comedian for her performance in Muni 2: Kanchana (2011).', ""She is now part of Kamal Haasan's Makkal Needhi Maiam Party.""]"
21.04.2020,R. Sarathkumar,https://en.wikipedia.org/wiki/R._Sarathkumar,"Ramanathan Sarathkumar (born 14 July 1954) is an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association.","[""Ramanathan Sarathkumar (born 14 July 1954) is an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association."", 'He has acted in more than 130 Tamil, Malayalam, Telugu and Kannada films.', 'He is fluent in all South Indian languages and is quite proficient in Russian.In 1986, Sarathkumar started his acting career in the Telugu film Samajamlo Sthree.', 'He first acted in negative roles, and later played supporting roles before establishing himself as a lead actor in subsequent years, earning him the title Supreme Star in Tamil cinema.', 'He has won two Tamil Nadu State Film Awards and three Filmfare Awards South.In 2007, he launched a new political party All India Samathuva Makkal Katchi (AISMK) in Tamil Nadu, claiming to carry out the ideals of K. Kamaraj.', 'He is the former Member of Legislative Assembly of Tenkasi constituency.', 'He served as the president of the Nadigar Sangam from 2006 to 2015 for three consecutive terms.']"
21.04.2020,Kaikala Satyanarayana,https://en.wikipedia.org/wiki/Kaikala_Satyanarayana,"Kaikala Satyanarayana is a former TDP parliamentarian, film actor,producer and director in Telugu cinema.","['Kaikala Satyanarayana is a former TDP parliamentarian, film actor,producer and director in Telugu cinema.', 'He was the jury member for South Region II at the 59th National Film Awards.', 'He is the recipient of the 2011 Raghupathi Venkaiah Award and 2017 Filmfare Award, both of which awarded him for lifetime achievement in Telugu cinema.']"
21.04.2020,Rakhi Sawant,https://en.wikipedia.org/wiki/Rakhi_Sawant,"Rakhi Sawant (born Neeru Bheda on 25 November 1978) is an Indian dancer, model, Hindi film and television actress and television talk show host, who has appeared in many Hindi and a few Kannada, Marathi, Odia, Telugu and Tamil films.","['Rakhi Sawant (born Neeru Bheda on 25 November 1978) is an Indian dancer, model, Hindi film and television actress and television talk show host, who has appeared in many Hindi and a few Kannada, Marathi, Odia, Telugu and Tamil films.', 'She has established herself as a sex symbol, and was a contestant on the first season of the controversial Indian reality television series Bigg Boss 1 in 2006.Sawant launched her own political party, headed by Jai Shah, called the Rashtriya Aam Party, to contest the 2014 Lok Sabha Elections.', 'However, after the election, she joined Republican Party of India (A).']"
21.04.2020,Moon Moon Sen,https://en.wikipedia.org/wiki/Moon_Moon_Sen,"Moon Moon Sen, also credited as Moonmoon Sen, (born 28 March 1954) is an Indian film actress, known for her works in Bengali, Hindi, Tamil, Telugu, Malayalam, Marathi and Kannada films.","['Moon Moon Sen, also credited as Moonmoon Sen, (born 28 March 1954) is an Indian film actress, known for her works in Bengali, Hindi, Tamil, Telugu, Malayalam, Marathi and Kannada films.', 'She eventually starred in Bollywood films.', 'She has appeared in 60 films and 40 television series.', 'She has received Andhra Pradesh state Nandi Award for Best Supporting Actress in 1987, for her role in the film Sirivennela.']"
21.04.2020,Shabana Azmi,https://en.wikipedia.org/wiki/Shabana_Azmi,"Shabana Azmi (born 18 September 1950) is an Indian actress of film, television and theatre.","['Shabana Azmi (born 18 September 1950) is an Indian actress of film, television and theatre.', 'The daughter of poet Kaifi Azmi and stage actress Shaukat Azmi, she is an alumna of Film and Television Institute of India of Pune.', 'Azmi made her film debut in 1974 and soon became one of the leading actresses of Parallel Cinema, a new-wave movement known for its serious content and neo-realism and received government patronage during the times.', ""Regarded as one of the finest actresses in India, Azmi's performances in films in a variety of genres have generally earned her praise and awards, which include a record of five wins of the National Film Award for Best Actress and several international honours."", 'She has also received five Filmfare Awards, and was honoured among ""women in cinema"" at the 30th International Film Festival of India.', 'In 1988, the Government of India awarded her with Padma Shri, the fourth highest civilian honour of the country.', 'Azmi has appeared in over 120 Hindi and Bengali films in both mainstream and independent cinema, and since 1988, she has acted in several foreign projects.', 'Several of her films have been cited as a form of progressivism which portrays Indian society, its customs and traditions.', ""In addition to acting, Azmi is a social and women's rights activist."", 'She is married to poet and screenwriter Javed Akhtar.', 'She is a Goodwill Ambassador of the United Nations Population Fund (UNPFA).', ""In appreciation of Azmi's life and works, the President of India gave her a nominated (unelected) membership of the Rajya Sabha, the upper house of parliament.""]"
21.04.2020,Sharada (actress),https://en.wikipedia.org/wiki/Sharada_(actress),Sharada (born Saraswati Devi; 25 June 1945) is a three-time National Award winning Indian actress and politician from Andhra Pradesh.,"['Sharada (born Saraswati Devi; 25 June 1945) is a three-time National Award winning Indian actress and politician from Andhra Pradesh.', 'She has achieved success through Malayalam cinema, and Telugu cinema.', 'She is also known as Urvasi Sharada because earlier the National Film Award for Best Actress was officially designated the Urvasi Award.', 'She won two Filmfare Awards.', 'Sharada has garnered the NTR National Award by the Government of Andhra Pradesh for her contributions to Indian cinema..', 'Along with Monisha Unni, Shobhana, Meera Jasmine, Surabhi Lakshmi and Shobha, Sharada is one of six Malayalam actresses who have won the National Film Award for Best Actress.']"
21.04.2020,S. Ve. Shekher,https://en.wikipedia.org/wiki/S._Ve._Shekher,Sattanathapuram Venkataraman Shekhar (born 26 December 1950) better known as 'S.,"[""Sattanathapuram Venkataraman Shekhar (born 26 December 1950) better known as 'S."", 'Ve.', ""Shekhar' is a Tamil playwright and film actor."", 'In 2006, he made an entry into politics by contesting and winning the Legislative Assembly Elections as an All India Anna Dravida Munnetra Kazhagam (AIADMK) candidate from Mylapore.', 'He was expelled from AIADMK on 30 July 2009.', 'He later joined the Indian National Congress.', 'Later he joined the BJP.']"
21.04.2020,Shilpa Shinde,https://en.wikipedia.org/wiki/Shilpa_Shinde,Shilpa Shinde (born 28 August 1977) is an Indian television actress known for her roles in Star Plus's soap opera  Bhabhi (2002–08) and &TV's sitcom Bhabhi Ji Ghar Par Hai!.,"[""Shilpa Shinde (born 28 August 1977) is an Indian television actress known for her roles in Star Plus's soap opera  Bhabhi (2002–08) and &TV's sitcom Bhabhi Ji Ghar Par Hai!."", 'In 2017, she participated in Bigg Boss 11 and emerged as the winner.In February 2019, Shinde joined Indian National Congress.']"
21.04.2020,Shruti Haasan,https://en.wikipedia.org/wiki/Shruti_Haasan,"Shruti Haasan (born 28 January 1986) is an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films.","['Shruti Haasan (born 28 January 1986) is an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films.', 'Born in the Haasan family, she is the daughter of actors Kamal Haasan and Sarika Thakur.', 'She is the recipient of several awards, including three  Filmfare Awards South, and has established herself as one of the leading actresses of South Indian cinema.', ""As a child artist, Haasan sang in films and appeared in a guest role in her father's directorial Hey Ram (2000), before making her adult acting debut in the 2009 Bollywood film Luck."", 'She achieved recognition with leading roles in the Telugu romantic comedy Oh My Friend (2011), the Telugu fantasy film Anaganaga O Dheerudu (2011), and the Tamil science fiction thriller 7aum Arivu (2011).', 'Her roles in the latter two earned her the Filmfare Award for Best Female Debut – South.', 'Haasan went on to establish herself in South Indian cinema with several commercially successful films, including Gabbar Singh (2012), Vedalam (2015), Srimanthudu (2015), and Si3 (2017).', 'She won the Filmfare Award for Best Actress – Telugu for the action comedy Race Gurram (2014).', ""Haasan's Hindi film roles include the critically acclaimed crime film D-Day (2013), Ramaiya Vastavaiya (2013), the action film Gabbar Is Back (2015), and the comedy Welcome Back (2015)."", 'In addition to acting, Haasan is also an established playback singer.', 'She has received nominations for the Filmfare Award for Best Female Playback Singer – Tamil for singing ""Kannazhaga Kaalazhaga"" in 3 (2012) and ""Yeandi Yeandi"" in Puli (2015); and the Filmfare Award for Best Female Playback Singer – Telugu for ""Junction Lo"" in Aagadu (2014).', ""Haasan began her career as a music director with her father's production Unnaipol Oruvan (2009) and has since formed her own music band.""]"
